,GOID,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,GOSlim
92,GO:0009952,0.041864089,0.980719797,14,43,anterior/posterior pattern specification,BP,developmental processes
98,GO:0009887,0.045644531,0.978628597,14,44,animal organ morphogenesis,BP,developmental processes
30,GO:0007568,0.014727426,0.992504121,24,80,aging,BP,developmental processes
3,GO:0045648,0.003430886,0.999640401,6,9,positive regulation of erythrocyte differentiation,BP,homeostasis
7,GO:0045454,0.004282256,0.99834767,18,51,cell redox homeostasis,BP,homeostasis
89,GO:0032469,0.040363686,0.991266465,5,11,endoplasmic reticulum calcium ion homeostasis,BP,homeostasis
53,GO:0002315,0.022120663,0.994577022,7,15,marginal zone B cell differentiation,BP,immune system process
91,GO:0009608,0.040751726,0.991577096,5,10,response to symbiont,BP,immune system process
13,GO:0045475,0.006294628,0.999149084,6,10,locomotor rhythm,BP,other biological processes
69,GO:0048771,0.030657091,0.990584009,8,20,tissue remodeling,BP,other biological processes
88,GO:0007612,0.039704464,0.982516602,13,39,learning,BP,other biological processes
66,GO:0016578,0.030012691,0.995944561,4,7,histone deubiquitination,BP,other metabolic processes
21,GO:0042136,0.010525186,0.99875208,5,8,neurotransmitter biosynthetic process,BP,other metabolic processes
8,GO:0042554,0.00440218,0.999655937,5,7,superoxide anion generation,BP,other metabolic processes
14,GO:0045762,0.007008837,0.999028938,6,10,positive regulation of adenylate cyclase activity,BP,other metabolic processes
40,GO:0042417,0.018619137,0.995012695,8,18,dopamine metabolic process,BP,other metabolic processes
62,GO:0042421,0.026386229,0.994049156,6,13,norepinephrine biosynthetic process,BP,other metabolic processes
68,GO:0009060,0.030271553,0.992713292,6,14,aerobic respiration,BP,other metabolic processes
73,GO:0034356,0.031562762,0.99394232,5,10,NAD biosynthesis via nicotinamide riboside salvage pathway,BP,other metabolic processes
85,GO:0006182,0.037680043,0.984236495,12,35,cGMP biosynthetic process,BP,other metabolic processes
96,GO:0000272,0.043791385,0.988422957,6,14,polysaccharide catabolic process,BP,other metabolic processes
99,GO:0030212,0.047274781,0.989286563,5,11,hyaluronan metabolic process,BP,other metabolic processes
100,GO:0006650,0.048944969,0.991388078,4,8,glycerophospholipid metabolic process,BP,other metabolic processes
20,GO:0044257,0.010360349,0.998776806,5,8,cellular protein catabolic process,BP,protein metabolism
43,GO:0014070,0.019656363,0.991634657,15,45,response to organic cyclic compound,BP,response to stimulus
15,GO:0000460,0.008200755,0.998726897,6,11,maturation of 5.8S rRNA,BP,RNA metabolism
35,GO:0010944,0.016533789,0.998454416,4,6,negative regulation of transcription by competitive promoter binding,BP,RNA metabolism
38,GO:0006401,0.017549799,0.996558656,6,12,RNA catabolic process,BP,RNA metabolism
9,GO:0010225,0.004639235,0.99896633,9,19,response to UV-C,BP,stress response
51,GO:0034097,0.021917808,0.992094392,11,30,response to cytokine,BP,stress response
2,GO:0019221,0.001750828,0.99953438,13,29,cytokine-mediated signaling pathway,BP,stress response
31,GO:0042542,0.015464039,0.996493053,7,15,response to hydrogen peroxide,BP,stress response
54,GO:0050728,0.022871471,0.98884751,19,63,negative regulation of inflammatory response,BP,stress response
77,GO:0048265,0.032204334,0.993783459,5,10,response to pain,BP,stress response
22,GO:0048489,0.010682144,0.998237014,6,11,synaptic vesicle transport,BP,transport
23,GO:0006811,0.010883807,0.99576337,15,42,ion transport,BP,transport
25,GO:0007589,0.012414029,0.997877467,6,11,body fluid secretion,BP,transport
32,GO:0006869,0.015582945,0.994118896,13,36,lipid transport,BP,transport
61,GO:0015718,0.025786142,0.99037888,11,31,monocarboxylic acid transport,BP,transport
64,GO:0006826,0.027279681,0.996429316,4,7,iron ion transport,BP,transport
79,GO:0006855,0.032445471,0.992294053,6,13,xenobiotic transmembrane transport,BP,transport
