gene,log2FoldChange,description
LOC105341345,1.90824264523503,sodium-dependent phosphate transport protein 2B isoform X1
LOC105330649,1.9078573115686,galaxin-like
LOC105340370,1.83575436261756,78 kDa glucose-regulated protein precursor
LOC105341070,1.8127670260269,DNA topoisomerase I, mitochondrial isoform X1
LOC105345604,1.76229047515666,peptidyl-prolyl cis-trans isomerase B
LOC105337015,1.73783952116099,activating transcription factor 3
LOC105326557,1.71654504156694,myosin-9-like
LOC105324156,1.70070326477281,calcitonin gene-related peptide type 1 receptor
LOC117689060,1.70056063342845,myosin-11-like
LOC105342083,1.68458338022836,spindle pole body component 110 isoform X1
LOC105343651,1.67002857441984,multimerin-2
LOC105345330,1.65832503224641,inner centromere protein
LOC105341977,1.6327050100144,marginal zone B- and B1-cell-specific protein
LOC105335286,1.60330861831138,EGF-like domain-containing protein 2
LOC105332009,1.60022848740457,LOW QUALITY PROTEIN: lysozyme
LOC105329610,1.59315081969495,FMRFamide receptor
LOC105317394,1.59056727330388,cell division cycle-associated protein 3 isoform X1
LOC105317353,1.58181520826406,armadillo repeat-containing protein 1
LOC105334421,1.55087915584575,PCNA-associated factor
LOC105339313,1.53311679169609,LOW QUALITY PROTEIN: telomerase protein component 1
LOC105345814,1.52072681973114,CCAAT/enhancer-binding protein beta
LOC105328917,1.50452866196182,serine/threonine-protein kinase RIO3 isoform X2
LOC105334158,-1.55160530939114,nacrein-like protein
LOC105347762,-1.56293688337179,kelch-like protein 10
LOC105333234,-1.56487800587964,fibroleukin isoform X1
LOC117686803,-1.56511690175146,C1q-related factor-like
LOC105341922,-1.58627720781997,short-chain collagen C4
LOC117681833,-1.5878496375616,lectin BRA-3-like
LOC105320984,-1.59388104758589,collagen alpha-2(VIII) chain isoform X1
LOC105319697,-1.6071337737913,sodium/calcium exchanger 3 isoform X3
LOC105327045,-1.61125467216906,microfibril-associated glycoprotein 4-like isoform X2
LOC117680587,-1.63085244606527,fucolectin-like
LOC105342747,-1.64908835214861,ryncolin-1
LOC117692236,-1.65403262180158,toll-like receptor 4
LOC117692687,-1.65787137526726,salivary glue protein Sgs-3-like
LOC105344085,-1.68609148446075,nucleolin isoform X1
LOC117689844,-1.68954180701904,microfibril-associated glycoprotein 4-like
LOC105345603,-1.72889681979118,peptidyl-prolyl cis-trans isomerase B isoform X2
LOC105329127,-1.732389148324,complement C1q tumor necrosis factor-related protein 3-like
LOC117691511,-1.73593898284879,ryncolin-4-like
LOC105346570,-1.74090323061226,O-acyltransferase like protein
LOC105329085,-1.752082070878,high mobility group-T protein
LOC105324728,-1.7651683078548,cytochrome P450 2D20
LOC117688633,-1.7757170438452,flocculation protein FLO11-like
LOC117690533,-1.8378930789007,serine/threonine-protein kinase TAO3-like
LOC105318706,-1.84149156636864,basic salivary proline-rich protein 1 isoform X1
LOC105318074,-1.87091826498037,perlucin-like protein
LOC117684773,-1.89962983796388,probable endochitinase
LOC105330102,-1.90095961882727,cytochrome P450 4F12
LOC105329128,-1.96262518674639,complement C1q tumor necrosis factor-related protein 3
LOC117690402,-1.9644779971497,putative nuclease HARBI1
LOC117688118,-2.10217680751087,heavy metal-binding protein HIP-like isoform X2
LOC109617043,-2.29304149142333,heavy metal-binding protein HIP-like isoform X1
LOC117688064,-2.32026101576484,cerebellin-3-like isoform X1
LOC105338263,-2.56052670929814,1-phosphatidylinositol 3-phosphate 5-kinase isoform X1
LOC117687908,-3.22197378661683,perlucin-like protein
LOC105342962,-5.12092711216176,perlucin-like protein
