gene,log2FoldChange,description
LOC105328928,1.94448973005357,hydroxylysine kinase
LOC105341850,1.93819297993404,protein FAM124A
LOC105319646,1.93698477910132,C-type lectin domain family 4 member M isoform X7
LOC105340065,1.93306105434617,aldo-keto reductase family 1 member A1
LOC117683812,1.9301975182287,scavenger receptor class F member 2-like
LOC105329837,1.92865912247338,putative nuclease HARBI1
LOC105343950,1.92508481520588,basic salivary proline-rich protein 3 isoform X1
LOC105319852,1.92473284147188,cytochrome P450 26A1
LOC105341808,1.91656386584394,phosphatidylserine synthase 1 isoform X1
LOC117690402,1.91238576830188,putative nuclease HARBI1
LOC105336202,1.89941384281574,glycine receptor subunit alpha-2 isoform X1
LOC105337184,1.89367277638764,neurogenic protein mastermind
LOC105328315,1.89192147059649,succinate--hydroxymethylglutarate CoA-transferase
LOC105322206,1.87866548707353,nuclear pore complex protein Nup50 isoform X1
LOC117688115,1.87734831924199,multiple epidermal growth factor-like domains protein 10
LOC105331869,1.87087424225407,putative ammonium transporter 1 isoform X1
LOC117687154,1.8690425861751,peroxidase-like protein
LOC105331097,1.86673569651555,dual oxidase
LOC105322515,1.86609165611616,A-agglutinin anchorage subunit isoform X1
LOC105325659,1.8658469672604,beta-lactamase-like
LOC105338923,1.8653069241928,collagen alpha-1(I) chain
LOC105332774,1.86240772283964,UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 2
LOC105348911,1.85532076885965,sulfotransferase 1E1-like
LOC117689782,1.84897547612057,mitotic checkpoint serine/threonine-protein kinase BUB1-like isoform X2
LOC105325346,1.84325799188279,transmembrane protein 26
LOC105340166,1.84298633966157,mucin-5AC isoform X1
LOC105340583,1.83587818474681,protocadherin Fat 4
LOC117689243,1.82919493348242,peroxiredoxin-5, mitochondrial-like
LOC105322237,1.82711643558775,vacuolar segregation protein PEP7
LOC105328229,1.82521464026249,probable cytochrome P450 CYP44
LOC117688418,1.82365311481263,zinc finger protein interacting with ribonucleoprotein K-like
LOC105345408,1.82254428814142,quinone reductase-like
LOC105336391,1.81278887239023,circadian locomoter output cycles protein kaput
LOC105346846,1.81228695404198,sodium-coupled monocarboxylate transporter 1
LOC105344571,1.81011163638255,protocadherin Fat 1
LOC117687440,1.8063462535476,transcription intermediary factor 1-beta-like
LOC105327436,1.80574519175248,universal stress protein PHOS34
LOC105344450,1.80486373160826,sulfoquinovosidase
LOC105329017,1.80224759770903,perlucin-like protein isoform X2
LOC105337090,1.80116231173623,MAM and LDL-receptor class A domain-containing protein 1 isoform X1
LOC117689921,1.79583716133157,free fatty acid receptor 4-like
LOC105348679,1.79432049549313,sodium-coupled monocarboxylate transporter 1
LOC105319145,1.79395153067625,perlucin
LOC105325948,1.79030410968928,transient receptor potential cation channel subfamily M member-like 2
LOC105348741,1.78760895651122,transmembrane protein 272
LOC105328565,1.78552987840944,polyribonucleotide nucleotidyltransferase 1, mitochondrial
LOC105345866,1.78098395754747,arylacetamide deacetylase
LOC105323826,1.77902117837002,melanopsin-B-like
LOC105335961,1.77756435967856,leucine-rich repeat-containing protein 46-like
LOC105345364,1.77740194947691,sodium- and chloride-dependent creatine transporter 1 isoform X1
LOC109619522,1.77672999975133,sarcoplasmic calcium-binding protein-like
LOC105338916,1.77448820241835,collagen alpha-1(I) chain
LOC105342774,1.77038210190461,collagen alpha-3(VI) chain isoform X1
LOC105333868,1.76944370912042,carbonic anhydrase 14-like isoform X3
LOC105318230,1.76770846772635,EF-hand calcium-binding domain-containing protein 6 isoform X1
LOC117689848,1.76449511801246,ryncolin-1-like
LOC109618896,1.76394556817139,multiple epidermal growth factor-like domains protein 10 isoform X1
LOC105337170,1.76361485099752,BPTI/Kunitz domain-containing protein 5
LOC105348706,1.76326982424157,vacuolar protein sorting-associated protein 18 homolog isoform X2
LOC105337786,1.76173545363347,neuropeptide SIFamide receptor
LOC105332049,1.76166536973282,C-terminal-binding protein 1
LOC105339876,1.75413158129298,L-galactose dehydrogenase
LOC117680550,1.74752780382569,dehydrogenase/reductase SDR family member 9-like
LOC105346368,1.74452865003872,perlucin-like protein
LOC117687861,1.74441166851722,collectin-12-like
LOC105320875,1.73899702999808,fibropellin-1
LOC105343006,1.72589340997676,transmembrane protein 179-like isoform X2
LOC109619490,1.72370579761476,multiple epidermal growth factor-like domains protein 10
LOC117687867,1.7226353343374,aggrecan core protein-like
LOC105326043,1.71934323462284,substance-K receptor
LOC105341779,1.71508095922401,neo-calmodulin
LOC105332939,1.71165375527391,variant-silencing SET domain-containing protein-like
LOC105320924,1.70667381028412,von Willebrand factor D and EGF domain-containing protein
LOC105347919,1.70623308052427,sodium-coupled monocarboxylate transporter 1
LOC105336755,1.7056614028549,neurogenic differentiation factor 6-A
LOC105319935,1.69976756873821,buccalin-like
LOC105339855,1.69947927089118,acyl-coenzyme A synthetase ACSM3, mitochondrial
LOC105325689,1.69533481482616,low-density lipoprotein receptor-related protein 4-like isoform X2
LOC105343070,1.69342856695482,cell death abnormality protein 1-like
LOC105321008,1.69322889707253,multiple epidermal growth factor-like domains protein 10
LOC117687787,1.68442829266805,protein ALP1-like
LOC105332319,1.68442585325618,glutamate receptor ionotropic, kainate 2 isoform X2
LOC105347159,1.67711364462463,beta-lactamase domain-containing protein 2-like
LOC105333463,1.67546182154763,alkyl/aryl-sulfatase BDS1
LOC105338943,1.65483482227168,contactin-2 isoform X1
LOC105327615,1.64463889482495,MFS-type transporter SLC18B1 isoform X2
LOC105330901,1.64284634944527,ethanolaminephosphotransferase 1-like
LOC105321540,1.64137901435321,IgGFc-binding protein isoform X1
LOC117688158,1.63803858391092,mothers against decapentaplegic homolog 3-like
LOC105332130,1.63368592379182,prolyl-tRNA synthetase associated domain-containing protein 1
LOC105317295,1.63271562907234,myb/SANT-like DNA-binding domain-containing protein 3
LOC105335979,1.62553738946543,acetylcholine receptor subunit delta-like
LOC105343572,1.62336987659688,chitin synthase chs-2 isoform X1
LOC105326727,1.60883538403779,beta-1,3-galactosyltransferase 1-like
LOC105343455,1.60469995361855,LOW QUALITY PROTEIN: SRR1-like protein
LOC105318362,1.60334806159837,LOW QUALITY PROTEIN: mucin-19
LOC117692815,1.60282424917132,collectin-12-like
LOC105319420,1.60271716196548,glutamic acid-rich protein
LOC105323179,1.60083002116627,growth hormone secretagogue receptor type 1
LOC105332224,1.59805514049145,neuronal acetylcholine receptor subunit beta-3
LOC105332773,1.59804658877809,zinc finger homeobox protein 4
LOC105320056,1.58618300827283,neurogenic locus notch homolog protein 2 isoform X2
LOC117680530,1.585640028237,plancitoxin-1-like
LOC105331301,1.58542599981024,cadherin-99C
LOC105324949,1.57992393389723,ras-related protein Rab-13
LOC105330757,1.57807282030609,protein draper
LOC105328225,1.57560371118158,isobutyryl-CoA dehydrogenase, mitochondrial
LOC105336115,1.57513304487574,sialin
LOC105346626,1.57189857053213,atrial natriuretic peptide receptor 1
LOC117687741,1.56133984119533,serine-rich adhesin for platelets-like isoform X2
LOC105317994,1.56114322691937,solute carrier family 49 member A3
LOC105323290,1.55655362620668,putative L-cysteine desulfhydrase 1
LOC105340880,1.55566752984433,dachshund homolog 1
LOC105324738,1.55301678824778,peroxidase-like protein isoform X2
LOC105336743,1.55097615888982,acetylcholine receptor subunit beta
LOC105331756,1.54918154489525,apolipoprotein D
LOC105334041,1.54752814250007,mitogen-activated protein kinase kinase kinase 4
LOC105329457,1.54282998428205,adenine DNA glycosylase
LOC117691016,1.54089912832542,polyadenylate-binding protein 4-like
LOC105338848,1.54038411231654,multiple epidermal growth factor-like domains protein 10 isoform X2
LOC105324426,1.53547084604629,prostaglandin E2 receptor EP4 subtype
LOC105336976,1.53345920363277,actophorin
LOC105327373,1.52776057430958,sodium/hydrogen exchanger 10 isoform X1
LOC105327611,1.52660279261328,filamin-A
LOC105320077,1.52542415882459,protein FAM221A-like
LOC105320545,1.52503661679599,metaxin-2
LOC117680557,1.51860160138122,multiple epidermal growth factor-like domains protein 10 isoform X2
LOC117688543,1.50662043578482,multiple epidermal growth factor-like domains protein 10
LOC105334338,1.50473103683937,glutathione S-transferase 1-like isoform X2
LOC105332883,-1.50088842675456,targeting protein for Xklp2 homolog isoform X1
LOC105332193,-1.51144892616438,actin, cytoplasmic
LOC105340198,-1.53929638104445,chloride intracellular channel protein 4
LOC105341931,-1.54412873815547,ras-related protein Rab-11A
LOC117684442,-1.63477930541869,integumentary mucin C.1-like isoform X2
LOC117686033,-1.6625110230079,sterile alpha motif domain-containing protein 9-like
LOC105347974,-1.68767446873771,G2/mitotic-specific cyclin-B3
LOC117684408,-1.69794567132132,F-box only protein 4-like
LOC117686337,-1.71862952957503,ankyrin repeat domain-containing protein 17-like
LOC105320186,-1.72400749768919,arylsulfatase B isoform X1
LOC117692016,-1.73363859333341,putative nuclease HARBI1
LOC105321189,-1.74134302477276,putative glutathione-specific gamma-glutamylcyclotransferase 2
LOC105317809,-1.74880571341128,rho GTPase-activating protein 11B isoform X2
LOC105333462,-1.80449569424643,nacrein-like protein
LOC105346049,-1.80847922022689,von Willebrand factor A domain-containing protein 7
LOC105336341,-1.83350483747676,pancreatic triacylglycerol lipase
LOC105329537,-1.8562312675037,putative mediator of RNA polymerase II transcription subunit 26 isoform X1
LOC117682171,-1.86235444936886,THAP domain-containing protein 1 B-like
LOC105335268,-1.89937628071092,EGF-like domain-containing protein 2 isoform X1
LOC105349185,-1.95091619926015,ADP-ribosylation factor
LOC117684555,-1.95626399027253,ADP-ribosylation factor-like
LOC105345604,-1.98448248325055,peptidyl-prolyl cis-trans isomerase B
LOC105342186,-2.00578121672806,apolipophorins-like
LOC105318645,-2.01550682506645,myb-like protein X isoform X1
LOC117682356,-2.04786775156303,ryncolin-4-like
LOC105339464,-2.09720536500483,leucine-rich repeat transmembrane neuronal protein 3
LOC105324323,-2.16553878255457,GTP-binding protein SAR1 isoform X1
LOC117681464,-2.19136797960503,electroneutral sodium bicarbonate exchanger 1-like isoform X1
LOC105338672,-2.4027326179887,electroneutral sodium bicarbonate exchanger 1 isoform X2
LOC105329166,-2.44129507979467,arginine kinase
LOC117685405,-2.5033363761365,serine-rich adhesin for platelets-like
LOC105330264,-2.51254456806638,piggyBac transposable element-derived protein 4-like
LOC117680491,-2.55966296793069,mucin-2-like
LOC105333558,-2.5930492842546,asparagine-rich protein isoform X3
LOC109620632,-2.92302452433217,chitin synthase chs-2 isoform X2
LOC105339793,-2.98167776552781,protein PFC0760c
LOC117691793,-3.03042353929659,arginine kinase-like
LOC105335878,-3.07632236887087,nacrein-like protein precursor
LOC105348733,-3.52526100545437,G2/mitotic-specific cyclin-A
LOC105336299,-3.68809150942766,ribonucleoside-diphosphate reductase small chain
LOC105346536,-4.02293592452888,fibroin heavy chain isoform X1
LOC105323395,-4.79637429013959,dentin sialophosphoprotein-like
LOC105327445,-6.17252998314221,sperm-specific protein PHI-2B/PHI-3
LOC105346538,-6.26446258867821,clumping factor A
LOC105326991,-8.70505791259299,dentin sialophosphoprotein
