Date,Tank.ID,Geoduck_ID,All_Treatment,Primary_Treatment,Second_Treament,Third_Treatment,Time,Number.animals,Box.position,Storage.Box.ID,Extracted_(X_done),Date_extraction,Qubit_RNA_Quantity,RNA_Quality_TapeStation,Qubit_DNA_Quantity,DNA_Quality_Gel,,Link to Extraction Notebook
20190731,35,458,MA,M,A,NA,Day7,1,H4,Sam Gurr 2019 Thresholds Geoduck BOX #14,X,20200823,36.8,Yes,23.9,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200824-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,32,445,MA,M,A,NA,Day7,1,H7,Sam Gurr 2019 Thresholds Geoduck BOX #2,X,20200823,108,Yes,47.7,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200824-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,28,430,MA,M,A,NA,Day7,1,I5,Sam Gurr 2019 Thresholds Geoduck BOX #14,X,20200826,133.5,Yes,73.8,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200826-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,27,426,MA,M,A,NA,Day7,1,F3,Sam Gurr 2019 Thresholds Geoduck BOX #14,X,20200902,21.2,Yes,8.71,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200903-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,31,441,MA,M,A,NA,Day7,1,F6,Sam Gurr 2019 Thresholds Geoduck BOX #15,X,20200918,126.5,Yes,76,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200923-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,29,434,MA,M,A,NA,Day7,1,I3,Sam Gurr 2019 Thresholds Geoduck BOX #14,X,20200923,115,Yes,68.6,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200923-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,1,322,MM,M,M,NA,Day7,1,E3,Sam Gurr 2019 Thresholds Geoduck BOX #15,X,20200823,84.8,Yes,46.6,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200824-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,7,346,MM,M,M,NA,Day7,1,B4,Sam Gurr 2019 Thresholds Geoduck BOX #12,X,20200826,166,Yes,81.3,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200826-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,8,350,MM,M,M,NA,Day7,1,A4,Sam Gurr 2019 Thresholds Geoduck BOX #5,X,20200826, 207 (previously NA),Yes,3.6 (previously NA),Yes,Redo Qubit == https://samgurr.github.io/SamJGurr_Lab_Notebook/REPEATED-QC-20201001-Juvenile-Panpoea-generosa-Extractions/,original QC == https://samgurr.github.io/SamJGurr_Lab_Notebook/20200827-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,2,326,MM,M,M,NA,Day7,1,E4,Sam Gurr 2019 Thresholds Geoduck BOX #5,X,20200902,173.5,Yes,51.7,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200903-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,9,355,MM,M,M,NA,Day7,1,A6,Sam Gurr 2019 Thresholds Geoduck BOX #14,X,20200908,168,Yes,94.5,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200909-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,3,331,MM,M,M,NA,Day7,1,B6,Sam Gurr 2019 Thresholds Geoduck BOX #15,X,20200909,19.3,Yes,19.25,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200909-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,20,397,MS,M,S,NA,Day7,1,B7,Sam Gurr 2019 Thresholds Geoduck BOX #15,X,20200823,199.5,Yes,109.5,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200824-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,18,389,MS,M,S,NA,Day7,1,E5,Sam Gurr 2019 Thresholds Geoduck BOX #5,X,20200826,135.5,Yes,62.1,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200826-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,17,385,MS,M,S,NA,Day7,1,C6,Sam Gurr 2019 Thresholds Geoduck BOX #14,X,20200902,91.3,Yes,44.8,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200903-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,13,370,MS,M,S,NA,Day7,1,I4,Sam Gurr 2019 Thresholds Geoduck BOX #15,X,20200902,58,Yes,20.9,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200903-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,23,409,MS,M,S,NA,Day7,1,E3,Sam Gurr 2019 Thresholds Geoduck BOX #5,X,20200902,169.5,Yes,76,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200903-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190731,22,405,MS,M,S,NA,Day7,1,H3,Sam Gurr 2019 Thresholds Geoduck BOX #2,X,20200923,92.1,Yes,50.5,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200923-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,25,814,AA,A,A,NA,DAY14,1,D6,Sam Gurr 2019 Thresholds Geoduck BOX #16,X,20200817,31.3,Yes,11.15,Low,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200817-20200818-Juvenile-Panopea-generosa-DNA-RNA-extractions/
20190807,34,849,AA,A,A,NA,DAY14,1,E5,Sam Gurr 2019 Thresholds Geoduck BOX #16,X,20200818,55.8,Yes,19.2,Low,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200817-20200818-Juvenile-Panopea-generosa-DNA-RNA-extractions/
20190807,36,859,AA,A,A,NA,DAY14,1,G7,Sam Gurr 2019 Thresholds Geoduck BOX #16,X,20200818,70.1,Yes,41.1,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200817-20200818-Juvenile-Panopea-generosa-DNA-RNA-extractions/
20190807,30,833,AA,A,A,NA,DAY14,1,I6,Sam Gurr 2019 Thresholds Geoduck BOX #17,X,20200826,103.5,Yes,45.8,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200826-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,26,819,AA,A,A,NA,DAY14,1,B1,Sam Gurr 2019 Thresholds Geoduck BOX #19,X,20200902,22.5,Yes,22.3,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200903-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,33,845,AA,A,A,NA,DAY14,1,A4,Sam Gurr 2019 Thresholds Geoduck BOX #6,X,20200908,77.9,Yes,42.8,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200909-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,4,729,AM,A,M,NA,DAY14,1,D4,Sam Gurr 2019 Thresholds Geoduck BOX #16,X,20200817,89.5,Yes,41.7,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200817-20200818-Juvenile-Panopea-generosa-DNA-RNA-extractions/
20190807,6,737,AM,A,M,NA,DAY14,1,I5,Sam Gurr 2019 Thresholds Geoduck BOX #16,X,20200818,12.4,Yes,19.45,Low,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200817-20200818-Juvenile-Panopea-generosa-DNA-RNA-extractions/
20190807,5,735,AM,A,M,NA,DAY14,1,D6,Sam Gurr 2019 Thresholds Geoduck BOX #17,X,20200818,53.3,Yes,22.1,loading error,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200817-20200818-Juvenile-Panopea-generosa-DNA-RNA-extractions/
20190807,11,757,AM,A,M,NA,DAY14,1,I8,Sam Gurr 2019 Thresholds Geoduck BOX #17,X,20200902,150,Yes,59.3,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200903-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,10,754,AM,A,M,NA,DAY14,1,B6,Sam Gurr 2019 Thresholds Geoduck BOX #17,X,20200910,33.9,Yes,17.3,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200910-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,12,763,AM,A,M,NA,DAY14,1,C8,Sam Gurr 2019 Thresholds Geoduck BOX #17,X,20200916,37.9,Yes,36.3,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200917-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,14,771,AS,A,S,NA,DAY14,1,D4,Sam Gurr 2019 Thresholds Geoduck BOX #10,X,20200817,12.7,"Low, no RINe",8.78,Low,"RNA is low, but ok to sequence, DNA not visible",https://samgurr.github.io/SamJGurr_Lab_Notebook/20200817-20200818-Juvenile-Panopea-generosa-DNA-RNA-extractions/
20190807,21,797,AS,A,S,NA,DAY14,1,A1,Sam Gurr 2019 Thresholds Geoduck BOX #16,X,20200818,268.8,Yes,22.6,loading error,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200817-20200818-Juvenile-Panopea-generosa-DNA-RNA-extractions/
20190807,16,777,AS,A,S,NA,DAY14,1,I1,Sam Gurr 2019 Thresholds Geoduck BOX #19,X,20200818,59.7,Yes,37.3,loading error,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200817-20200818-Juvenile-Panopea-generosa-DNA-RNA-extractions/
20190807,15,774,AS,A,S,NA,DAY14,1,F5,Sam Gurr 2019 Thresholds Geoduck BOX #20,X,20200902,30.4,Yes,21.9,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200903-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,24,809,AS,A,S,NA,DAY14,1,B8,Sam Gurr 2019 Thresholds Geoduck BOX #19,X,20200908,99.8,Yes,23.8,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200909-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,19,789,AS,A,S,NA,DAY14,1,I1,Sam Gurr 2019 Thresholds Geoduck BOX #7,X,20200909,73.8,Yes,32.6,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200909-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,27,822,MA,M,A,NA,DAY14,1,A7,Sam Gurr 2019 Thresholds Geoduck BOX #17,X,20200817,192,Yes,69.2,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200817-20200818-Juvenile-Panopea-generosa-DNA-RNA-extractions/
20190807,28,825,MA,M,A,NA,DAY14,1,G8,Sam Gurr 2019 Thresholds Geoduck BOX #17,X,20200818,14.3,Yes,13.7,loading error,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200817-20200818-Juvenile-Panopea-generosa-DNA-RNA-extractions/
20190807,29,829,MA,M,A,NA,DAY14,1,B3,Sam Gurr 2019 Thresholds Geoduck BOX #19,X,20200818,234,Yes,68.2,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200817-20200818-Juvenile-Panopea-generosa-DNA-RNA-extractions/
20190807,35,853,MA,M,A,NA,DAY14,1,H3,Sam Gurr 2019 Thresholds Geoduck BOX #19,X,20200908,78.4,Yes,50.4,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200909-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,31,837,MA,M,A,NA,DAY14,1,H1,Sam Gurr 2019 Thresholds Geoduck BOX #7,X,20200909,151.5,Yes,83.4,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200909-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,32,841,MA,M,A,NA,DAY14,1,F8,Sam Gurr 2019 Thresholds Geoduck BOX #19,X,20200916,148,Yes,59.6,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200917-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,9,750,MM,M,M,NA,DAY14,1,A3,Sam Gurr 2019 Thresholds Geoduck BOX #10,X,20200817,28.3,Yes,16,Low,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200817-20200818-Juvenile-Panopea-generosa-DNA-RNA-extractions/
20190807,1,717,MM,M,M,NA,DAY14,1,I8,Sam Gurr 2019 Thresholds Geoduck BOX #16,X,20200818,176.5,Yes,92.6,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200817-20200818-Juvenile-Panopea-generosa-DNA-RNA-extractions/
20190807,8,746,MM,M,M,NA,DAY14,1,A6,Sam Gurr 2019 Thresholds Geoduck BOX #16,X,20200908,95.7,Yes,46.4,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200909-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,2,722,MM,M,M,NA,DAY14,1,H8,Sam Gurr 2019 Thresholds Geoduck BOX #17,X,20200909,35.9,Yes,32.5,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200909-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,3,726,MM,M,M,NA,DAY14,1,A9,Sam Gurr 2019 Thresholds Geoduck BOX #16,X,20200910,136.5,Yes,48.5,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200910-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,7,741,MM,M,M,NA,DAY14,1,C3,Sam Gurr 2019 Thresholds Geoduck BOX #16,X,20200917,100.4,Yes,63.1,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200917-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,18,785,MS,M,S,NA,DAY14,1,I8,Sam Gurr 2019 Thresholds Geoduck BOX #10,X,20200817,23.3,Yes,6.75,Low,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200817-20200818-Juvenile-Panopea-generosa-DNA-RNA-extractions/
20190807,22,801,MS,M,S,NA,DAY14,1,E1,Sam Gurr 2019 Thresholds Geoduck BOX #10,X,20200818,109.5,Yes,98.2,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200817-20200818-Juvenile-Panopea-generosa-DNA-RNA-extractions/
20190807,17,783,MS,M,S,NA,DAY14,1,I1,Sam Gurr 2019 Thresholds Geoduck BOX #16,X,20200825,10.6,Yes,9.99,Low,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200825-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,20,793,MS,M,S,NA,DAY14,1,H4,Sam Gurr 2019 Thresholds Geoduck BOX #18,X,20200908,73.4,Yes,51.8,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200909-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,13,766,MS,M,S,NA,DAY14,1,H7,Sam Gurr 2019 Thresholds Geoduck BOX #16,X,20200916,35.7,Yes,17.15,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200917-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,23,807,MS,M,S,NA,DAY14,1,E6,Sam Gurr 2019 Thresholds Geoduck BOX #10,X,20200918,86,Yes,55.9,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200923-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190814,70,1645,AAA,A,A,A,DAY21,1,G4,Sam Gurr 2019 Thresholds Geoduck BOX #16,X,20200825,89.8,Yes,41.2,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200825-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190814,61,1600,AAA,A,A,A,DAY21,1,A6,Sam Gurr 2019 Thresholds Geoduck BOX #19,X,20200825,NA,"Low, no RINe",7.8,Low,"< 10ng/µl, RNA peak is ok",https://samgurr.github.io/SamJGurr_Lab_Notebook/20200825-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190814,33,1641,AAA,A,A,A,DAY21,1,C2,Sam Gurr 2019 Thresholds Geoduck BOX #18,X,20200903,64.1,Yes,15.9,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200903-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190814,66,1615,AAA,A,A,A,DAY21,1,G5,Sam Gurr 2019 Thresholds Geoduck BOX #16,X,20200909,81.7,Yes,42.1,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200909-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190814,36,1651,AAA,A,A,A,DAY21,1,B8,Sam Gurr 2019 Thresholds Geoduck BOX #17,X,20200910,14.1,Yes,5.6,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200910-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190814,26,1603,AAA,A,A,A,DAY21,1,D3,Sam Gurr 2019 Thresholds Geoduck BOX #21,X,20200916,14.7,Yes,13.9,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200917-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190814,30,1518,AAM,A,A,M,DAY21,1,H1,Sam Gurr 2019 Thresholds Geoduck BOX #20,X,20200825,NA,"Low, no RINe",11.15,Low,"< 10ng/µl, RNA peak is ok",https://samgurr.github.io/SamJGurr_Lab_Notebook/20200825-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190814,34,1480,AAM,A,A,M,DAY21,1,I2,Sam Gurr 2019 Thresholds Geoduck BOX #6,X,20200903,129,Yes,47.1,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200903-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190814,72,1524,AAM,A,A,M,DAY21,1,E2,Sam Gurr 2019 Thresholds Geoduck BOX #10,X,20200908,44.7,Yes,23.6,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200909-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190814,25,1440,AAM,A,A,M,DAY21,1,A6,Sam Gurr 2019 Thresholds Geoduck BOX #7,X,20200917,124.5,Yes,53.9,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200917-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190814,69,1452,AAM,A,A,M,DAY21,1,I6,Sam Gurr 2019 Thresholds Geoduck BOX #11,X,20200918,109,Yes,38.3,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200923-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190814,62,1485,AAM,A,A,M,DAY21,1,A7,Sam Gurr 2019 Thresholds Geoduck BOX #9,X,20200918,20.6,"Low, check this!",19.15,Low,"RNA is low, but ok to sequence, DNA not visible",https://samgurr.github.io/SamJGurr_Lab_Notebook/20200923-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190814,4,1549,AMA,A,M,A,DAY21,1,E8,Sam Gurr 2019 Thresholds Geoduck BOX #10,X,20200825,130.5,Yes,57.2,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200825-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190814,41,1593,AMA,A,M,A,DAY21,1,A9,Sam Gurr 2019 Thresholds Geoduck BOX #19,X,20200825,52.8,Yes,31.7,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200825-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190814,48,1630,AMA,A,M,A,DAY21,1,G9,Sam Gurr 2019 Thresholds Geoduck BOX #10,X,20200903,69.3,Yes,35.9,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200903-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190814,46,1545,AMA,A,M,A,DAY21,1,D2,Sam Gurr 2019 Thresholds Geoduck BOX #6,X,20200903,401,Yes,80.7,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200903-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190814,6,1617,AMA,A,M,A,DAY21,1,F5,Sam Gurr 2019 Thresholds Geoduck BOX #11,X,20200909,131,Yes,64.1,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200909-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
