GOID,p.value,gene,padj,log2FoldChange,description,GeneID,genomic_accession,start,end,GOterm,GOSlim,GOcat
GO:0014719,0.000000077980,LOC117680557,0.0000258527255136041,-1.57233650523735,multiple epidermal growth factor-like domains protein 10 isoform X2,117680557,NC_047560.1,64808972,64832253,satellite cell activation,other biological processes,P
GO:0014719,0.000000077980,LOC109618896,0.000987208983863439,-1.63639757952883,multiple epidermal growth factor-like domains protein 10 isoform X1,109618896,NC_047559.1,28214308,28227022,satellite cell activation,other biological processes,P
GO:0014719,0.000000077980,LOC117680557,0.0000258527255136041,-1.57233650523735,multiple epidermal growth factor-like domains protein 10 isoform X2,117680557,NC_047560.1,64808972,64818570,satellite cell activation,other biological processes,P
GO:0014719,0.000000077980,LOC109617890,0.000618982869900736,-2.23681319643817,multiple epidermal growth factor-like domains protein 10 isoform X1,109617890,NC_047560.1,61751364,61759728,satellite cell activation,other biological processes,P
GO:0014719,0.000000077980,LOC117680557,0.0000258527255136041,-1.57233650523735,multiple epidermal growth factor-like domains protein 10 isoform X2,117680557,NC_047560.1,64808972,64818579,satellite cell activation,other biological processes,P
GO:0014719,0.000000077980,LOC109617890,0.000618982869900736,-2.23681319643817,multiple epidermal growth factor-like domains protein 10 isoform X1,109617890,NC_047560.1,61751380,61759728,satellite cell activation,other biological processes,P
GO:0014719,0.000000077980,LOC105323700,0.00310332842724422,-2.10269797622111,multiple epidermal growth factor-like domains protein 10 isoform X3,105323700,NC_047563.1,67760538,67773557,satellite cell activation,other biological processes,P
GO:0014813,0.000054977444,LOC105326492,0.00362090159067302,-1.56416194606068,paired box protein Pax-7 isoform X2,105326492,NC_047564.1,16295166,16304143,satellite cell commitment,other biological processes,P
GO:0014813,0.000054977444,LOC105326492,0.00362090159067302,-1.56416194606068,paired box protein Pax-7 isoform X2,105326492,NC_047564.1,16295166,16306142,satellite cell commitment,other biological processes,P
GO:0014816,0.000000001063,LOC109617890,0.000618982869900736,-2.23681319643817,multiple epidermal growth factor-like domains protein 10 isoform X1,109617890,NC_047560.1,61751380,61759728,satellite cell differentiation,other biological processes,P
GO:0014816,0.000000001063,LOC109617890,0.000618982869900736,-2.23681319643817,multiple epidermal growth factor-like domains protein 10 isoform X1,109617890,NC_047560.1,61751364,61759728,satellite cell differentiation,other biological processes,P
GO:0014816,0.000000001063,LOC117680557,0.0000258527255136041,-1.57233650523735,multiple epidermal growth factor-like domains protein 10 isoform X2,117680557,NC_047560.1,64808972,64818570,satellite cell differentiation,other biological processes,P
GO:0014816,0.000000001063,LOC109618896,0.000987208983863439,-1.63639757952883,multiple epidermal growth factor-like domains protein 10 isoform X1,109618896,NC_047559.1,28214308,28227022,satellite cell differentiation,other biological processes,P
GO:0014816,0.000000001063,LOC105323700,0.00310332842724422,-2.10269797622111,multiple epidermal growth factor-like domains protein 10 isoform X3,105323700,NC_047563.1,67759683,67773557,satellite cell differentiation,other biological processes,P
GO:0014816,0.000000001063,LOC117680557,0.0000258527255136041,-1.57233650523735,multiple epidermal growth factor-like domains protein 10 isoform X2,117680557,NC_047560.1,64808972,64832253,satellite cell differentiation,other biological processes,P
GO:0014816,0.000000001063,LOC105323700,0.00310332842724422,-2.10269797622111,multiple epidermal growth factor-like domains protein 10 isoform X3,105323700,NC_047563.1,67760538,67773557,satellite cell differentiation,other biological processes,P
GO:0014816,0.000000001063,LOC117680557,0.0000258527255136041,-1.57233650523735,multiple epidermal growth factor-like domains protein 10 isoform X2,117680557,NC_047560.1,64808972,64818579,satellite cell differentiation,other biological processes,P
GO:0014819,0.00428,LOC105319697,0.00000000000000388308461626352,-1.78238676190955,sodium/calcium exchanger 3 isoform X3,105319697,NC_047568.1,45562249,45571944,regulation of skeletal muscle contraction,other biological processes,P
GO:0014841,0.000000098443,LOC117680557,0.0000258527255136041,-1.57233650523735,multiple epidermal growth factor-like domains protein 10 isoform X2,117680557,NC_047560.1,64808972,64818579,satellite cell proliferation,cell cycle and proliferation,P
GO:0014841,0.000000098443,LOC105323700,0.00310332842724422,-2.10269797622111,multiple epidermal growth factor-like domains protein 10 isoform X3,105323700,NC_047563.1,67759683,67773557,satellite cell proliferation,cell cycle and proliferation,P
GO:0014841,0.000000098443,LOC109617890,0.000618982869900736,-2.23681319643817,multiple epidermal growth factor-like domains protein 10 isoform X1,109617890,NC_047560.1,61751364,61759728,satellite cell proliferation,cell cycle and proliferation,P
GO:0014841,0.000000098443,LOC109617890,0.000618982869900736,-2.23681319643817,multiple epidermal growth factor-like domains protein 10 isoform X1,109617890,NC_047560.1,61751380,61759728,satellite cell proliferation,cell cycle and proliferation,P
GO:0014841,0.000000098443,LOC117680557,0.0000258527255136041,-1.57233650523735,multiple epidermal growth factor-like domains protein 10 isoform X2,117680557,NC_047560.1,64808972,64832253,satellite cell proliferation,cell cycle and proliferation,P
GO:0014841,0.000000098443,LOC117680557,0.0000258527255136041,-1.57233650523735,multiple epidermal growth factor-like domains protein 10 isoform X2,117680557,NC_047560.1,64808972,64818570,satellite cell proliferation,cell cycle and proliferation,P
GO:0014841,0.000000098443,LOC109618896,0.000987208983863439,-1.63639757952883,multiple epidermal growth factor-like domains protein 10 isoform X1,109618896,NC_047559.1,28214308,28227022,satellite cell proliferation,cell cycle and proliferation,P
GO:0014841,0.000000098443,LOC105323700,0.00310332842724422,-2.10269797622111,multiple epidermal growth factor-like domains protein 10 isoform X3,105323700,NC_047563.1,67760538,67773557,satellite cell proliferation,cell cycle and proliferation,P
GO:0015074,0.000026528274,LOC117683174,0.000781418402505519,1.68590849178917,uncharacterized protein LOC117683174 isoform X2,117683174,NC_047559.1,10341737,10348858,DNA integration,DNA metabolism,P
GO:0015074,0.000026528274,LOC117693159,0.000920648875995171,1.69061998652439,uncharacterized protein LOC117693159 isoform X2,117693159,NC_047564.1,11958442,11965566,DNA integration,DNA metabolism,P
GO:0015074,0.000026528274,LOC117693159,0.000920648875995171,1.69061998652439,uncharacterized protein LOC117693159 isoform X2,117693159,NC_047564.1,11958445,11965566,DNA integration,DNA metabolism,P
GO:0015074,0.000026528274,LOC117693159,0.000920648875995171,1.69061998652439,uncharacterized protein LOC117693159 isoform X2,117693159,NC_047564.1,11958446,11965566,DNA integration,DNA metabolism,P
GO:0015709,0.00743,LOC105338324,0.0000000696968623316863,-1.55772422281204,mitochondrial dicarboxylate carrier,105338324,NC_047568.1,43942986,43950217,thiosulfate transport,transport,P
GO:0015729,0.00743,LOC105338324,0.0000000696968623316863,-1.55772422281204,mitochondrial dicarboxylate carrier,105338324,NC_047568.1,43942986,43950217,oxaloacetate transport,transport,P
GO:0016204,0.00743,LOC105337812,0.000112644087571344,-1.50132873610401,transcription factor collier isoform X1,105337812,NC_047562.1,48603026,48630052,determination of muscle attachment site,developmental processes,P
GO:0017055,0.000000000022,LOC105329085,0.000000000000000000000000000887626183870997,-1.97770414504081,high mobility group-T protein,105329085,NC_047565.1,7562918,7565815,negative regulation of transcriptional preinitiation complex assembly,cell organization and biogenesis,P
GO:0017055,0.000000000022,LOC105329085,0.000000000000000000000000000887626183870997,-1.97770414504081,high mobility group-T protein,105329085,NC_047565.1,7562941,7565815,negative regulation of transcriptional preinitiation complex assembly,RNA metabolism,P
GO:0017055,0.000000000022,LOC105329085,0.000000000000000000000000000887626183870997,-1.97770414504081,high mobility group-T protein,105329085,NC_047565.1,7563193,7565815,negative regulation of transcriptional preinitiation complex assembly,RNA metabolism,P
GO:0017055,0.000000000022,LOC105329085,0.000000000000000000000000000887626183870997,-1.97770414504081,high mobility group-T protein,105329085,NC_047565.1,7562941,7565815,negative regulation of transcriptional preinitiation complex assembly,cell organization and biogenesis,P
GO:0017055,0.000000000022,LOC105329085,0.000000000000000000000000000887626183870997,-1.97770414504081,high mobility group-T protein,105329085,NC_047565.1,7562918,7565815,negative regulation of transcriptional preinitiation complex assembly,RNA metabolism,P
GO:0017055,0.000000000022,LOC105329085,0.000000000000000000000000000887626183870997,-1.97770414504081,high mobility group-T protein,105329085,NC_047565.1,7563193,7565815,negative regulation of transcriptional preinitiation complex assembly,cell organization and biogenesis,P
GO:0019058,0.00094,LOC105329132,0.00000000000232382883874962,2.04593357454092,tumor susceptibility gene 101 protein,105329132,NC_047563.1,64476920,64487263,viral infectious cycle,other biological processes,P
GO:0021527,0.00542,LOC105326492,0.00362090159067302,-1.56416194606068,paired box protein Pax-7 isoform X2,105326492,NC_047564.1,16295166,16304143,spinal cord association neuron differentiation,developmental processes,P
GO:0021527,0.00542,LOC105326492,0.00362090159067302,-1.56416194606068,paired box protein Pax-7 isoform X2,105326492,NC_047564.1,16295166,16306142,spinal cord association neuron differentiation,developmental processes,P
GO:0022011,0.00925,LOC105327040,0.000788933626239276,-1.61014191757192,uncharacterized protein LOC105327040 isoform X2,105327040,NC_047566.1,45949296,45984413,myelination in the peripheral nervous system,developmental processes,P
