"","GOID","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","GOSlim"
"41","GO:0000079",0.0364458692629103,0.996953713909728,2,11,"regulation of cyclin-dependent protein serine/threonine kinase activity","BP","cell cycle and proliferation"
"42","GO:0015695",0.038092808821294,0.996658395031084,2,13,"organic cation transport","BP","transport"
"43","GO:0043312",0.0381717652620985,0.987810920444086,6,98,"neutrophil degranulation","BP","transport"
"44","GO:0002407",0.039394116182721,0.996447654365918,2,14,"dendritic cell chemotaxis","BP","other biological processes"
"45","GO:0014003",0.040479176689602,0.996329293048677,2,13,"oligodendrocyte development","BP","developmental processes"
"46","GO:0001975",0.04124280016175,0.996221618378113,2,13,"response to amphetamine","BP","other biological processes"
"47","GO:0006368",0.0437036790153358,0.992392399640313,3,31,"transcription elongation from RNA polymerase II promoter","BP","RNA metabolism"
"48","GO:0050775",0.0450119418019064,0.992168482499171,3,26,"positive regulation of dendrite morphogenesis","BP","cell organization and biogenesis"
"49","GO:0051276",0.0451103614180111,0.995706097924829,2,12,"chromosome organization","BP","cell organization and biogenesis"
"50","GO:0001816",0.0463845445338936,0.995516562603285,2,12,"cytokine production","BP","other biological processes"
"51","GO:0002230",0.0477468541408528,0.991392045608647,3,31,"positive regulation of defense response to virus by host","BP","stress response"
