day,ploidy,trt,survival,mortality
-30,diploid,D-heat_desiccation,100,0
-29,diploid,D-heat_desiccation,100,0
-28,diploid,D-heat_desiccation,100,0
-27,diploid,D-heat_desiccation,100,0
-26,diploid,D-heat_desiccation,100,0
-25,diploid,D-heat_desiccation,100,0
-24,diploid,D-heat_desiccation,100,0
-23,diploid,D-heat_desiccation,100,0
-22,diploid,D-heat_desiccation,100,0
-21,diploid,D-heat_desiccation,100,0
-20,diploid,D-heat_desiccation,100,0
-19,diploid,D-heat_desiccation,100,0
-18,diploid,D-heat_desiccation,100,0
-17,diploid,D-heat_desiccation,100,0
-16,diploid,D-heat_desiccation,100,0
-15,diploid,D-heat_desiccation,100,0
-14,diploid,D-heat_desiccation,100,0
-13,diploid,D-heat_desiccation,100,0
-12,diploid,D-heat_desiccation,100,0
-11,diploid,D-heat_desiccation,100,0
-10,diploid,D-heat_desiccation,100,0
-9,diploid,D-heat_desiccation,100,0
-8,diploid,D-heat_desiccation,100,0
-7,diploid,D-heat_desiccation,100,0
-6,diploid,D-heat_desiccation,100,0
-5,diploid,D-heat_desiccation,100,0
-4,diploid,D-heat_desiccation,100,0
-3,diploid,D-heat_desiccation,98.86363636,1.136363636
-2,diploid,D-heat_desiccation,98.86363636,1.136363636
-1,diploid,D-heat_desiccation,98.86363636,1.136363636
0,diploid,D-heat_desiccation,98.86363636,1.136363636
1,diploid,D-heat_desiccation,98.86363636,1.136363636
2,diploid,D-heat_desiccation,98.86363636,1.136363636
3,diploid,D-heat_desiccation,93.18181818,6.818181818
4,diploid,D-heat_desiccation,93.18181818,6.818181818
5,diploid,D-heat_desiccation,93.18181818,6.818181818
6,diploid,D-heat_desiccation,93.18181818,6.818181818
7,diploid,D-heat_desiccation,90.90909091,9.090909091
8,diploid,D-heat_desiccation,90.90909091,9.090909091
9,diploid,D-heat_desiccation,90.90909091,9.090909091
10,diploid,D-heat_desiccation,90.90909091,9.090909091
11,diploid,D-heat_desiccation,87.5,12.5
12,diploid,D-heat_desiccation,87.5,12.5
13,diploid,D-heat_desiccation,87.5,12.5
14,diploid,D-heat_desiccation,86.36363636,13.63636364
15,diploid,D-heat_desiccation,86.36363636,13.63636364
16,diploid,D-heat_desiccation,86.36363636,13.63636364
17,diploid,D-heat_desiccation,86.36363636,13.63636364
18,diploid,D-heat_desiccation,86.36363636,13.63636364
19,diploid,D-heat_desiccation,86.36363636,13.63636364
20,diploid,D-heat_desiccation,86.36363636,13.63636364
21,diploid,D-heat_desiccation,86.36363636,13.63636364
22,diploid,D-heat_desiccation,86.36363636,13.63636364
23,diploid,D-heat_desiccation,86.36363636,13.63636364
24,diploid,D-heat_desiccation,86.36363636,13.63636364
25,diploid,D-heat_desiccation,86.36363636,13.63636364
26,diploid,D-heat_desiccation,86.36363636,13.63636364
27,diploid,D-heat_desiccation,86.36363636,13.63636364
28,diploid,D-heat_desiccation,86.36363636,13.63636364
29,diploid,D-heat_desiccation,86.36363636,13.63636364
30,diploid,D-heat_desiccation,85.22727273,14.77272727
-30,triploid,T-control,100,0
-29,triploid,T-control,100,0
-28,triploid,T-control,100,0
-27,triploid,T-control,100,0
-26,triploid,T-control,100,0
-25,triploid,T-control,100,0
-24,triploid,T-control,100,0
-23,triploid,T-control,100,0
-22,triploid,T-control,100,0
-21,triploid,T-control,100,0
-20,triploid,T-control,100,0
-19,triploid,T-control,96.59090909,3.409090909
-18,triploid,T-control,96.59090909,3.409090909
-17,triploid,T-control,96.59090909,3.409090909
-16,triploid,T-control,96.59090909,3.409090909
-15,triploid,T-control,96.59090909,3.409090909
-14,triploid,T-control,96.59090909,3.409090909
-13,triploid,T-control,96.59090909,3.409090909
-12,triploid,T-control,96.59090909,3.409090909
-11,triploid,T-control,96.59090909,3.409090909
-10,triploid,T-control,93.18181818,6.818181818
-9,triploid,T-control,93.18181818,6.818181818
-8,triploid,T-control,93.18181818,6.818181818
-7,triploid,T-control,93.18181818,6.818181818
-6,triploid,T-control,93.18181818,6.818181818
-5,triploid,T-control,93.18181818,6.818181818
-4,triploid,T-control,93.18181818,6.818181818
-3,triploid,T-control,93.18181818,6.818181818
-2,triploid,T-control,93.18181818,6.818181818
-1,triploid,T-control,93.18181818,6.818181818
0,triploid,T-control,93.18181818,6.818181818
1,triploid,T-control,93.18181818,6.818181818
2,triploid,T-control,93.18181818,6.818181818
3,triploid,T-control,93.18181818,6.818181818
4,triploid,T-control,93.18181818,6.818181818
5,triploid,T-control,93.18181818,6.818181818
6,triploid,T-control,93.18181818,6.818181818
7,triploid,T-control,93.18181818,6.818181818
8,triploid,T-control,93.18181818,6.818181818
9,triploid,T-control,93.18181818,6.818181818
10,triploid,T-control,93.18181818,6.818181818
11,triploid,T-control,93.18181818,6.818181818
12,triploid,T-control,93.18181818,6.818181818
13,triploid,T-control,93.18181818,6.818181818
14,triploid,T-control,93.18181818,6.818181818
15,triploid,T-control,93.18181818,6.818181818
16,triploid,T-control,93.18181818,6.818181818
17,triploid,T-control,93.18181818,6.818181818
18,triploid,T-control,93.18181818,6.818181818
19,triploid,T-control,93.18181818,6.818181818
20,triploid,T-control,93.18181818,6.818181818
21,triploid,T-control,93.18181818,6.818181818
22,triploid,T-control,93.18181818,6.818181818
23,triploid,T-control,93.18181818,6.818181818
24,triploid,T-control,93.18181818,6.818181818
25,triploid,T-control,93.18181818,6.818181818
26,triploid,T-control,93.18181818,6.818181818
27,triploid,T-control,93.18181818,6.818181818
28,triploid,T-control,93.18181818,6.818181818
29,triploid,T-control,93.18181818,6.818181818
30,triploid,T-control,93.18181818,6.818181818
-30,triploid,T-heat_only,100,0
-29,triploid,T-heat_only,100,0
-28,triploid,T-heat_only,100,0
-27,triploid,T-heat_only,100,0
-26,triploid,T-heat_only,100,0
-25,triploid,T-heat_only,100,0
-24,triploid,T-heat_only,100,0
-23,triploid,T-heat_only,100,0
-22,triploid,T-heat_only,100,0
-21,triploid,T-heat_only,100,0
-20,triploid,T-heat_only,97.72727273,2.272727273
-19,triploid,T-heat_only,97.72727273,2.272727273
-18,triploid,T-heat_only,97.72727273,2.272727273
-17,triploid,T-heat_only,97.72727273,2.272727273
-16,triploid,T-heat_only,97.72727273,2.272727273
-15,triploid,T-heat_only,97.72727273,2.272727273
-14,triploid,T-heat_only,97.72727273,2.272727273
-13,triploid,T-heat_only,97.72727273,2.272727273
-12,triploid,T-heat_only,97.72727273,2.272727273
-11,triploid,T-heat_only,97.72727273,2.272727273
-10,triploid,T-heat_only,97.72727273,2.272727273
-9,triploid,T-heat_only,97.72727273,2.272727273
-8,triploid,T-heat_only,97.72727273,2.272727273
-7,triploid,T-heat_only,97.72727273,2.272727273
-6,triploid,T-heat_only,97.72727273,2.272727273
-5,triploid,T-heat_only,97.72727273,2.272727273
-4,triploid,T-heat_only,97.72727273,2.272727273
-3,triploid,T-heat_only,97.72727273,2.272727273
-2,triploid,T-heat_only,97.72727273,2.272727273
-1,triploid,T-heat_only,97.72727273,2.272727273
0,triploid,T-heat_only,96.59090909,3.409090909
1,triploid,T-heat_only,96.59090909,3.409090909
2,triploid,T-heat_only,95.45454545,4.545454545
3,triploid,T-heat_only,93.18181818,6.818181818
4,triploid,T-heat_only,92.04545455,7.954545455
5,triploid,T-heat_only,90.90909091,9.090909091
6,triploid,T-heat_only,90.90909091,9.090909091
7,triploid,T-heat_only,90.90909091,9.090909091
8,triploid,T-heat_only,90.90909091,9.090909091
9,triploid,T-heat_only,90.90909091,9.090909091
10,triploid,T-heat_only,90.90909091,9.090909091
11,triploid,T-heat_only,90.90909091,9.090909091
12,triploid,T-heat_only,90.90909091,9.090909091
13,triploid,T-heat_only,90.90909091,9.090909091
14,triploid,T-heat_only,90.90909091,9.090909091
15,triploid,T-heat_only,90.90909091,9.090909091
16,triploid,T-heat_only,90.90909091,9.090909091
17,triploid,T-heat_only,90.90909091,9.090909091
18,triploid,T-heat_only,90.90909091,9.090909091
19,triploid,T-heat_only,90.90909091,9.090909091
20,triploid,T-heat_only,90.90909091,9.090909091
21,triploid,T-heat_only,90.90909091,9.090909091
22,triploid,T-heat_only,90.90909091,9.090909091
23,triploid,T-heat_only,90.90909091,9.090909091
24,triploid,T-heat_only,90.90909091,9.090909091
25,triploid,T-heat_only,90.90909091,9.090909091
26,triploid,T-heat_only,90.90909091,9.090909091
27,triploid,T-heat_only,90.90909091,9.090909091
28,triploid,T-heat_only,90.90909091,9.090909091
29,triploid,T-heat_only,90.90909091,9.090909091
30,triploid,T-heat_only,90.90909091,9.090909091
-30,triploid,T-heat_desiccation,100,0
-29,triploid,T-heat_desiccation,100,0
-28,triploid,T-heat_desiccation,100,0
-27,triploid,T-heat_desiccation,100,0
-26,triploid,T-heat_desiccation,100,0
-25,triploid,T-heat_desiccation,100,0
-24,triploid,T-heat_desiccation,100,0
-23,triploid,T-heat_desiccation,100,0
-22,triploid,T-heat_desiccation,100,0
-21,triploid,T-heat_desiccation,100,0
-20,triploid,T-heat_desiccation,100,0
-19,triploid,T-heat_desiccation,100,0
-18,triploid,T-heat_desiccation,100,0
-17,triploid,T-heat_desiccation,100,0
-16,triploid,T-heat_desiccation,100,0
-15,triploid,T-heat_desiccation,100,0
-14,triploid,T-heat_desiccation,100,0
-13,triploid,T-heat_desiccation,100,0
-12,triploid,T-heat_desiccation,100,0
-11,triploid,T-heat_desiccation,100,0
-10,triploid,T-heat_desiccation,100,0
-9,triploid,T-heat_desiccation,100,0
-8,triploid,T-heat_desiccation,100,0
-7,triploid,T-heat_desiccation,100,0
-6,triploid,T-heat_desiccation,100,0
-5,triploid,T-heat_desiccation,100,0
-4,triploid,T-heat_desiccation,100,0
-3,triploid,T-heat_desiccation,96.59090909,3.409090909
-2,triploid,T-heat_desiccation,96.59090909,3.409090909
-1,triploid,T-heat_desiccation,96.59090909,3.409090909
0,triploid,T-heat_desiccation,90.90909091,9.090909091
1,triploid,T-heat_desiccation,89.77272727,10.22727273
2,triploid,T-heat_desiccation,89.77272727,10.22727273
3,triploid,T-heat_desiccation,72.72727273,27.27272727
4,triploid,T-heat_desiccation,72.72727273,27.27272727
5,triploid,T-heat_desiccation,72.72727273,27.27272727
6,triploid,T-heat_desiccation,72.72727273,27.27272727
7,triploid,T-heat_desiccation,64.77272727,35.22727273
8,triploid,T-heat_desiccation,64.77272727,35.22727273
9,triploid,T-heat_desiccation,64.77272727,35.22727273
10,triploid,T-heat_desiccation,64.77272727,35.22727273
11,triploid,T-heat_desiccation,63.63636364,36.36363636
12,triploid,T-heat_desiccation,63.63636364,36.36363636
13,triploid,T-heat_desiccation,63.63636364,36.36363636
14,triploid,T-heat_desiccation,63.63636364,36.36363636
15,triploid,T-heat_desiccation,63.63636364,36.36363636
16,triploid,T-heat_desiccation,63.63636364,36.36363636
17,triploid,T-heat_desiccation,63.63636364,36.36363636
18,triploid,T-heat_desiccation,63.63636364,36.36363636
19,triploid,T-heat_desiccation,63.63636364,36.36363636
20,triploid,T-heat_desiccation,63.63636364,36.36363636
21,triploid,T-heat_desiccation,63.63636364,36.36363636
22,triploid,T-heat_desiccation,63.63636364,36.36363636
23,triploid,T-heat_desiccation,63.63636364,36.36363636
24,triploid,T-heat_desiccation,63.63636364,36.36363636
25,triploid,T-heat_desiccation,63.63636364,36.36363636
26,triploid,T-heat_desiccation,63.63636364,36.36363636
27,triploid,T-heat_desiccation,63.63636364,36.36363636
28,triploid,T-heat_desiccation,63.63636364,36.36363636
29,triploid,T-heat_desiccation,63.63636364,36.36363636
30,triploid,T-heat_desiccation,63.63636364,36.36363636
