"Gene.secondaryIdentifier","Gene.symbol","Gene.primaryIdentifier","Gene.organism.name","Gene.goAnnotation.ontologyTerm.identifier","Gene.goAnnotation.ontologyTerm.name","Gene.goAnnotation.ontologyTerm.parents.identifier","Gene.goAnnotation.ontologyTerm.parents.name"
"","LOC105324323","105324323","Crassostrea gigas","GO:0006886","intracellular protein transport","GO:0051234","establishment of localization"
"","LOC105324323","105324323","Crassostrea gigas","GO:0006886","intracellular protein transport","GO:0051641","cellular localization"
"","LOC105324323","105324323","Crassostrea gigas","GO:0006886","intracellular protein transport","GO:0051649","establishment of localization in cell"
"","LOC105324323","105324323","Crassostrea gigas","GO:0006886","intracellular protein transport","GO:0070727","cellular macromolecule localization"
"","LOC105324323","105324323","Crassostrea gigas","GO:0006886","intracellular protein transport","GO:0071702","organic substance transport"
"","LOC105324323","105324323","Crassostrea gigas","GO:0006886","intracellular protein transport","GO:0071705","nitrogen compound transport"
"","LOC105324323","105324323","Crassostrea gigas","GO:0016192","vesicle-mediated transport","GO:0006810","transport"
"","LOC105324323","105324323","Crassostrea gigas","GO:0016192","vesicle-mediated transport","GO:0016192","vesicle-mediated transport"
"","LOC105324323","105324323","Crassostrea gigas","GO:0016192","vesicle-mediated transport","GO:0051179","localization"
"","LOC105324323","105324323","Crassostrea gigas","GO:0016192","vesicle-mediated transport","GO:0051234","establishment of localization"
"","LOC105327445","105327445","Crassostrea gigas","GO:0006334","nucleosome assembly","GO:0006323","DNA packaging"
"","LOC105327445","105327445","Crassostrea gigas","GO:0006334","nucleosome assembly","GO:0006325","chromatin organization"
"","LOC105327445","105327445","Crassostrea gigas","GO:0006334","nucleosome assembly","GO:0006333","chromatin assembly or disassembly"
"","LOC105327445","105327445","Crassostrea gigas","GO:0006334","nucleosome assembly","GO:0006334","nucleosome assembly"
"","LOC105327445","105327445","Crassostrea gigas","GO:0006334","nucleosome assembly","GO:0006338","chromatin remodeling"
"","LOC105327445","105327445","Crassostrea gigas","GO:0006334","nucleosome assembly","GO:0006996","organelle organization"
"","LOC105327445","105327445","Crassostrea gigas","GO:0006334","nucleosome assembly","GO:0009987","cellular process"
"","LOC105327445","105327445","Crassostrea gigas","GO:0006334","nucleosome assembly","GO:0016043","cellular component organization"
"","LOC105327445","105327445","Crassostrea gigas","GO:0006334","nucleosome assembly","GO:0022607","cellular component assembly"
"","LOC105327445","105327445","Crassostrea gigas","GO:0006334","nucleosome assembly","GO:0031497","chromatin assembly"
"","LOC105327445","105327445","Crassostrea gigas","GO:0006334","nucleosome assembly","GO:0034728","nucleosome organization"
"","LOC105327445","105327445","Crassostrea gigas","GO:0006334","nucleosome assembly","GO:0043933","protein-containing complex organization"
"","LOC105327445","105327445","Crassostrea gigas","GO:0006334","nucleosome assembly","GO:0044085","cellular component biogenesis"
"","LOC105327445","105327445","Crassostrea gigas","GO:0006334","nucleosome assembly","GO:0051276","chromosome organization"
"","LOC105327445","105327445","Crassostrea gigas","GO:0006334","nucleosome assembly","GO:0065003","protein-containing complex assembly"
"","LOC105327445","105327445","Crassostrea gigas","GO:0006334","nucleosome assembly","GO:0065004","protein-DNA complex assembly"
"","LOC105327445","105327445","Crassostrea gigas","GO:0006334","nucleosome assembly","GO:0071103","DNA conformation change"
"","LOC105327445","105327445","Crassostrea gigas","GO:0006334","nucleosome assembly","GO:0071824","protein-DNA complex subunit organization"
"","LOC105327445","105327445","Crassostrea gigas","GO:0006334","nucleosome assembly","GO:0071840","cellular component organization or biogenesis"
"","LOC105338509","105338509","Crassostrea gigas","GO:0005000","vasopressin receptor activity","GO:0007154","cell communication"
"","LOC105338509","105338509","Crassostrea gigas","GO:0005000","vasopressin receptor activity","GO:0007165","signal transduction"
"","LOC105338509","105338509","Crassostrea gigas","GO:0005000","vasopressin receptor activity","GO:0007186","G protein-coupled receptor signaling pathway"
"","LOC105338509","105338509","Crassostrea gigas","GO:0005000","vasopressin receptor activity","GO:0009987","cellular process"
"","LOC105338509","105338509","Crassostrea gigas","GO:0005000","vasopressin receptor activity","GO:0023052","signaling"
"","LOC105338509","105338509","Crassostrea gigas","GO:0005000","vasopressin receptor activity","GO:0050789","regulation of biological process"
"","LOC105338509","105338509","Crassostrea gigas","GO:0005000","vasopressin receptor activity","GO:0050794","regulation of cellular process"
"","LOC105338509","105338509","Crassostrea gigas","GO:0005000","vasopressin receptor activity","GO:0050896","response to stimulus"
"","LOC105338509","105338509","Crassostrea gigas","GO:0005000","vasopressin receptor activity","GO:0051716","cellular response to stimulus"
"","LOC105338509","105338509","Crassostrea gigas","GO:0005000","vasopressin receptor activity","GO:0065007","biological regulation"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019284","L-methionine salvage from S-adenosylmethionine","GO:0000096","sulfur amino acid metabolic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019284","L-methionine salvage from S-adenosylmethionine","GO:0000097","sulfur amino acid biosynthetic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019284","L-methionine salvage from S-adenosylmethionine","GO:0006082","organic acid metabolic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019284","L-methionine salvage from S-adenosylmethionine","GO:0006520","cellular amino acid metabolic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019284","L-methionine salvage from S-adenosylmethionine","GO:0006555","methionine metabolic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019284","L-methionine salvage from S-adenosylmethionine","GO:0006790","sulfur compound metabolic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019284","L-methionine salvage from S-adenosylmethionine","GO:0006807","nitrogen compound metabolic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019284","L-methionine salvage from S-adenosylmethionine","GO:0008152","metabolic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019284","L-methionine salvage from S-adenosylmethionine","GO:0008652","cellular amino acid biosynthetic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019284","L-methionine salvage from S-adenosylmethionine","GO:0009058","biosynthetic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019284","L-methionine salvage from S-adenosylmethionine","GO:0009066","aspartate family amino acid metabolic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019284","L-methionine salvage from S-adenosylmethionine","GO:0009067","aspartate family amino acid biosynthetic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019284","L-methionine salvage from S-adenosylmethionine","GO:0009086","methionine biosynthetic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019284","L-methionine salvage from S-adenosylmethionine","GO:0009987","cellular process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019284","L-methionine salvage from S-adenosylmethionine","GO:0016053","organic acid biosynthetic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019284","L-methionine salvage from S-adenosylmethionine","GO:0019284","L-methionine salvage from S-adenosylmethionine"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019284","L-methionine salvage from S-adenosylmethionine","GO:0019752","carboxylic acid metabolic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019284","L-methionine salvage from S-adenosylmethionine","GO:0033353","S-adenosylmethionine cycle"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019284","L-methionine salvage from S-adenosylmethionine","GO:0043094","cellular metabolic compound salvage"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019284","L-methionine salvage from S-adenosylmethionine","GO:0043102","amino acid salvage"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019284","L-methionine salvage from S-adenosylmethionine","GO:0043436","oxoacid metabolic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019284","L-methionine salvage from S-adenosylmethionine","GO:0044237","cellular metabolic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019284","L-methionine salvage from S-adenosylmethionine","GO:0044238","primary metabolic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019284","L-methionine salvage from S-adenosylmethionine","GO:0044249","cellular biosynthetic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019284","L-methionine salvage from S-adenosylmethionine","GO:0044272","sulfur compound biosynthetic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019284","L-methionine salvage from S-adenosylmethionine","GO:0044281","small molecule metabolic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019284","L-methionine salvage from S-adenosylmethionine","GO:0044283","small molecule biosynthetic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019284","L-methionine salvage from S-adenosylmethionine","GO:0046394","carboxylic acid biosynthetic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019284","L-methionine salvage from S-adenosylmethionine","GO:0046500","S-adenosylmethionine metabolic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019284","L-methionine salvage from S-adenosylmethionine","GO:0071265","L-methionine biosynthetic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019284","L-methionine salvage from S-adenosylmethionine","GO:0071267","L-methionine salvage"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019284","L-methionine salvage from S-adenosylmethionine","GO:0071704","organic substance metabolic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019284","L-methionine salvage from S-adenosylmethionine","GO:1901564","organonitrogen compound metabolic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019284","L-methionine salvage from S-adenosylmethionine","GO:1901566","organonitrogen compound biosynthetic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019284","L-methionine salvage from S-adenosylmethionine","GO:1901576","organic substance biosynthetic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019284","L-methionine salvage from S-adenosylmethionine","GO:1901605","alpha-amino acid metabolic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019284","L-methionine salvage from S-adenosylmethionine","GO:1901607","alpha-amino acid biosynthetic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019509","L-methionine salvage from methylthioadenosine","GO:0000096","sulfur amino acid metabolic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019509","L-methionine salvage from methylthioadenosine","GO:0000097","sulfur amino acid biosynthetic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019509","L-methionine salvage from methylthioadenosine","GO:0006082","organic acid metabolic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019509","L-methionine salvage from methylthioadenosine","GO:0006520","cellular amino acid metabolic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019509","L-methionine salvage from methylthioadenosine","GO:0006555","methionine metabolic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019509","L-methionine salvage from methylthioadenosine","GO:0006790","sulfur compound metabolic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019509","L-methionine salvage from methylthioadenosine","GO:0006807","nitrogen compound metabolic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019509","L-methionine salvage from methylthioadenosine","GO:0008152","metabolic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019509","L-methionine salvage from methylthioadenosine","GO:0008652","cellular amino acid biosynthetic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019509","L-methionine salvage from methylthioadenosine","GO:0009058","biosynthetic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019509","L-methionine salvage from methylthioadenosine","GO:0009066","aspartate family amino acid metabolic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019509","L-methionine salvage from methylthioadenosine","GO:0009067","aspartate family amino acid biosynthetic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019509","L-methionine salvage from methylthioadenosine","GO:0009086","methionine biosynthetic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019509","L-methionine salvage from methylthioadenosine","GO:0009987","cellular process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019509","L-methionine salvage from methylthioadenosine","GO:0016053","organic acid biosynthetic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019509","L-methionine salvage from methylthioadenosine","GO:0019509","L-methionine salvage from methylthioadenosine"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019509","L-methionine salvage from methylthioadenosine","GO:0019752","carboxylic acid metabolic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019509","L-methionine salvage from methylthioadenosine","GO:0043094","cellular metabolic compound salvage"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019509","L-methionine salvage from methylthioadenosine","GO:0043102","amino acid salvage"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019509","L-methionine salvage from methylthioadenosine","GO:0043436","oxoacid metabolic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019509","L-methionine salvage from methylthioadenosine","GO:0044237","cellular metabolic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019509","L-methionine salvage from methylthioadenosine","GO:0044238","primary metabolic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019509","L-methionine salvage from methylthioadenosine","GO:0044249","cellular biosynthetic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019509","L-methionine salvage from methylthioadenosine","GO:0044272","sulfur compound biosynthetic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019509","L-methionine salvage from methylthioadenosine","GO:0044281","small molecule metabolic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019509","L-methionine salvage from methylthioadenosine","GO:0044283","small molecule biosynthetic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019509","L-methionine salvage from methylthioadenosine","GO:0046394","carboxylic acid biosynthetic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019509","L-methionine salvage from methylthioadenosine","GO:0071265","L-methionine biosynthetic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019509","L-methionine salvage from methylthioadenosine","GO:0071267","L-methionine salvage"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019509","L-methionine salvage from methylthioadenosine","GO:0071704","organic substance metabolic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019509","L-methionine salvage from methylthioadenosine","GO:1901564","organonitrogen compound metabolic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019509","L-methionine salvage from methylthioadenosine","GO:1901566","organonitrogen compound biosynthetic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019509","L-methionine salvage from methylthioadenosine","GO:1901576","organic substance biosynthetic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019509","L-methionine salvage from methylthioadenosine","GO:1901605","alpha-amino acid metabolic process"
"","LOC105342692","105342692","Crassostrea gigas","GO:0019509","L-methionine salvage from methylthioadenosine","GO:1901607","alpha-amino acid biosynthetic process"
"","LOC105343679","105343679","Crassostrea gigas","GO:0022857","transmembrane transporter activity","GO:0006810","transport"
"","LOC105343679","105343679","Crassostrea gigas","GO:0022857","transmembrane transporter activity","GO:0009987","cellular process"
"","LOC105343679","105343679","Crassostrea gigas","GO:0022857","transmembrane transporter activity","GO:0051179","localization"
"","LOC105343679","105343679","Crassostrea gigas","GO:0022857","transmembrane transporter activity","GO:0051234","establishment of localization"
"","LOC105343679","105343679","Crassostrea gigas","GO:0022857","transmembrane transporter activity","GO:0055085","transmembrane transport"
"","LOC105344805","105344805","Crassostrea gigas","GO:0004983","neuropeptide Y receptor activity","GO:0007154","cell communication"
"","LOC105344805","105344805","Crassostrea gigas","GO:0004983","neuropeptide Y receptor activity","GO:0007165","signal transduction"
"","LOC105344805","105344805","Crassostrea gigas","GO:0004983","neuropeptide Y receptor activity","GO:0007186","G protein-coupled receptor signaling pathway"
"","LOC105344805","105344805","Crassostrea gigas","GO:0004983","neuropeptide Y receptor activity","GO:0007218","neuropeptide signaling pathway"
"","LOC105344805","105344805","Crassostrea gigas","GO:0004983","neuropeptide Y receptor activity","GO:0009987","cellular process"
"","LOC105344805","105344805","Crassostrea gigas","GO:0004983","neuropeptide Y receptor activity","GO:0023052","signaling"
"","LOC105344805","105344805","Crassostrea gigas","GO:0004983","neuropeptide Y receptor activity","GO:0050789","regulation of biological process"
"","LOC105344805","105344805","Crassostrea gigas","GO:0004983","neuropeptide Y receptor activity","GO:0050794","regulation of cellular process"
"","LOC105344805","105344805","Crassostrea gigas","GO:0004983","neuropeptide Y receptor activity","GO:0050896","response to stimulus"
"","LOC105344805","105344805","Crassostrea gigas","GO:0004983","neuropeptide Y receptor activity","GO:0051716","cellular response to stimulus"
"","LOC105344805","105344805","Crassostrea gigas","GO:0004983","neuropeptide Y receptor activity","GO:0065007","biological regulation"
"","LOC105346846","105346846","Crassostrea gigas","GO:0022857","transmembrane transporter activity","GO:0006810","transport"
"","LOC105346846","105346846","Crassostrea gigas","GO:0022857","transmembrane transporter activity","GO:0009987","cellular process"
"","LOC105346846","105346846","Crassostrea gigas","GO:0022857","transmembrane transporter activity","GO:0051179","localization"
"","LOC105346846","105346846","Crassostrea gigas","GO:0022857","transmembrane transporter activity","GO:0051234","establishment of localization"
"","LOC105346846","105346846","Crassostrea gigas","GO:0022857","transmembrane transporter activity","GO:0055085","transmembrane transport"
