gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,cat,description,feature,count,plus_minus,analysis
LOC117681310,29.84623266,-1.191288524,0.669484169,0.002002825,0.034647635,characterized,perlucin-like protein,genome,1,-1,triploid_heat
LOC105340181,114.6911943,-1.183062553,0.834351451,0.003137717,0.046560886,characterized,collagen alpha-1(VIII) chain-like,genome,1,-1,triploid_heat
LOC117691671,15.47268627,-1.18071043,0.308744632,6.73E-06,0.00052569,characterized,C-type lectin mannose-binding isoform-like,genome,1,-1,triploid_heat
LOC117685047,40.99041641,-1.171532019,0.857038885,0.00338963,0.048730885,characterized,B-box zinc finger protein 24-like isoform X2,genome,1,-1,triploid_heat
LOC105344912,60.07125821,-1.161173317,0.501894959,0.000721225,0.016798837,characterized,perlucin-like protein,genome,1,-1,triploid_heat
LOC105322533,36.48571716,-1.154509926,0.354726129,5.07E-05,0.002507596,characterized,microfibril-associated glycoprotein 4 isoform X2,genome,1,-1,triploid_heat
LOC105346536,36.36248718,-1.151880308,0.367835154,7.78E-05,0.003459837,characterized,fibroin heavy chain isoform X1,genome,1,-1,triploid_heat
LOC117687672,88.46097539,-1.145842519,0.718375289,0.002640331,0.041216156,characterized,transient receptor potential cation channel subfamily M member 2-like isoform X2,genome,1,-1,triploid_heat
LOC117680357,16.87651525,-1.141710709,0.396934118,0.000173604,0.006181737,characterized,ATP-dependent DNA helicase PIF1-like,genome,1,-1,triploid_heat
LOC105331580,10.84597028,-1.14090754,0.426841765,0.000320412,0.009395874,characterized,LOW QUALITY PROTEIN: autophagy-related protein 9A,genome,1,-1,triploid_heat
LOC109618661,49.58725598,-1.123606771,0.772576213,0.003202965,0.047149787,characterized,receptor-type tyrosine-protein phosphatase kappa-like isoform X1,genome,1,-1,triploid_heat
LOC105331912,22.14484628,-1.118510615,0.311444192,1.64E-05,0.001082782,characterized,inactive pancreatic lipase-related protein 1 isoform X2,genome,1,-1,triploid_heat
LOC105346400,269.6719453,-1.115030133,0.456497536,0.000539349,0.013855563,characterized,transient receptor potential cation channel subfamily M member-like 2 isoform X1,genome,1,-1,triploid_heat
LOC105349000,425.0401194,-1.099084062,0.541600123,0.001352442,0.026397663,characterized,E3 ubiquitin-protein ligase RNF213-like,genome,1,-1,triploid_heat
LOC105322782,20.77574573,-1.097829491,0.373068721,0.000156117,0.005724824,characterized,beta-13-galactosyltransferase brn,genome,1,-1,triploid_heat
LOC117684787,19.42664396,-1.09495824,0.539692793,0.001372146,0.026697495,characterized,heavy metal-binding protein HIP-like,genome,1,-1,triploid_heat
LOC105335265,637.6694061,-1.085748264,0.182138154,1.47E-10,5.38E-08,characterized,lys-63-specific deubiquitinase BRCC36,genome,1,-1,triploid_heat
LOC105333231,16.53608555,-1.07034328,0.327556978,5.43E-05,0.002639053,characterized,aminomethyltransferase mitochondrial,genome,1,-1,triploid_heat
LOC105332780,28.90938521,-1.070137267,0.271858487,4.66E-06,0.000385398,characterized,lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog,genome,1,-1,triploid_heat
LOC105335954,819.6597853,-1.061367006,0.150363159,1.04E-13,8.00E-11,characterized,RNA-binding protein FUS isoform X2,genome,1,-1,triploid_heat
LOC105334604,44.99389608,-1.059363429,0.475220409,0.000929911,0.020126335,characterized,complement C1q-like protein 4,genome,1,-1,triploid_heat
LOC117687680,57.56704365,-1.052038761,0.427164243,0.000539346,0.013855563,characterized,ficolin-2-like isoform X3,genome,1,-1,triploid_heat
LOC117682709,15.36810845,-1.042548299,0.318556593,5.40E-05,0.002639053,characterized,EMILIN-1-like,genome,1,-1,triploid_heat
LOC105330710,2252.103699,-1.038755078,0.295694558,2.33E-05,0.001409701,characterized,latent-transforming growth factor beta-binding protein 1 isoform X1,genome,1,-1,triploid_heat
LOC105336086,33.18922716,-1.037583136,0.597300765,0.002390771,0.038861674,characterized,microfibril-associated glycoprotein 4-like,genome,1,-1,triploid_heat
LOC117682985,14.57190762,-1.035455565,0.379319814,0.000299673,0.00900238,characterized,prostaglandin reductase 1-like,genome,1,-1,triploid_heat
LOC105321617,146.9527072,-1.030062766,0.281554597,1.32E-05,0.000891937,characterized,heavy metal-binding protein HIP isoform X2,genome,1,-1,triploid_heat
LOC105347167,3248.682726,-1.014823885,0.13853432,1.58E-14,1.53E-11,characterized,heterogeneous nuclear ribonucleoprotein D0 isoform X8,genome,1,-1,triploid_heat
LOC105332456,39.77653398,-1.014258698,0.422701699,0.00065956,0.015902716,characterized,protein ABHD14A,genome,1,-1,triploid_heat
LOC105343955,22.07512042,-1.008765375,0.595838041,0.002688551,0.041672543,characterized,putative ferric-chelate reductase 1 homolog,genome,1,-1,triploid_heat
LOC105347281,238.1685993,-0.991206432,0.179150866,1.94E-09,4.97E-07,characterized,eukaryotic translation initiation factor 3 subunit H isoform X1,genome,1,-1,triploid_heat
LOC105329785,280.9785179,-0.99072192,0.311289635,7.17E-05,0.003273697,characterized,epididymal secretory glutathione peroxidase-like,genome,1,-1,triploid_heat
LOC105346767,71.31711492,-0.990259669,0.178108224,1.68E-09,4.42E-07,characterized,dihydropyrimidine dehydrogenase [NADP(+)] isoform X2,genome,1,-1,triploid_heat
LOC105323555,243.0783244,-0.988347836,0.199923309,4.62E-08,7.41E-06,characterized,tubulin polymerization-promoting protein family member 3,genome,1,-1,triploid_heat
LOC105321203,3488.657684,-0.98741965,0.28071705,2.08E-05,0.00128774,characterized,fibrillin-1 isoform X2,genome,1,-1,triploid_heat
LOC105345192,4332.930951,-0.986223855,0.299969946,5.68E-05,0.002727715,characterized,cartilage matrix protein,genome,1,-1,triploid_heat
LOC105335417,483.7787632,-0.975777489,0.184786811,7.92E-09,1.72E-06,characterized,acyl-CoA desaturase isoform X1,genome,1,-1,triploid_heat
LOC105330024,144.2920525,-0.973412789,0.213360201,3.00E-07,3.69E-05,characterized,coiled-coil domain-containing protein 151,genome,1,-1,triploid_heat
LOC105336922,37.2904221,-0.96906551,0.225453359,1.09E-06,0.000111867,characterized,protein CROWDED NUCLEI 3,genome,1,-1,triploid_heat
LOC109620717,10.46835721,-0.964676011,0.459153636,0.001426156,0.027175055,characterized,GTP-binding protein REM 1,genome,1,-1,triploid_heat
LOC105336614,14.74610274,-0.962990922,0.623559267,0.003464563,0.049422944,characterized,heat shock 70 kDa protein 12A,genome,1,-1,triploid_heat
LOC105347667,89.34997438,-0.959984924,0.22152676,8.83E-07,9.41E-05,characterized,dnaJ homolog subfamily B member 13,genome,1,-1,triploid_heat
LOC105325078,27.08249664,-0.956603962,0.399241465,0.000709506,0.016704177,characterized,peptidoglycan-recognition protein SC2 isoform X1,genome,1,-1,triploid_heat
LOC105343134,60.20307052,-0.955398064,0.248428305,6.79E-06,0.000526513,characterized,cytochrome b5 domain-containing protein 1,genome,1,-1,triploid_heat
LOC105324723,12.93392521,-0.944194088,0.301206771,9.43E-05,0.003993141,characterized,toll-like receptor 8,genome,1,-1,triploid_heat
LOC105347517,18.56744083,-0.940917629,0.539680439,0.002694368,0.041706574,characterized,interferon-induced protein 44-like,genome,1,-1,triploid_heat
LOC105328008,162.4790406,-0.939619276,0.36170801,0.000425569,0.011611864,characterized,calmodulin-A,genome,1,-1,triploid_heat
LOC105338423,163.423423,-0.928831988,0.29608015,8.76E-05,0.003794325,characterized,16 kDa calcium-binding protein,genome,1,-1,triploid_heat
LOC105327974,51.15396762,-0.923046114,0.378006396,0.000651025,0.015771292,characterized,heat shock 70 kDa protein 12A,genome,1,-1,triploid_heat
LOC105342739,53.61171159,-0.922322795,0.41324722,0.001053893,0.022140156,characterized,peptidoglycan-recognition protein SC2-like precursor 1 precursor,genome,1,-1,triploid_heat
LOC105332988,125.9909715,-0.914508159,0.315190117,0.000185342,0.006462438,characterized,GTPase IMAP family member 4,genome,1,-1,triploid_heat
LOC105333819,30.26348664,-0.913901347,0.472471721,0.001946492,0.033966931,characterized,cytochrome P450 2C39 isoform X3,genome,1,-1,triploid_heat
LOC105337888,163.4314615,-0.903349501,0.318509327,0.000229102,0.007492523,characterized,protein shisa-5,genome,1,-1,triploid_heat
LOC105326711,17.33631463,-0.899557473,0.359413789,0.000598418,0.014956391,characterized,armadillo-like helical domain containing protein 1,genome,1,-1,triploid_heat
LOC105333497,37.72674894,-0.898911731,0.310337996,0.000195994,0.006707068,characterized,sucrase-isomaltase intestinal,genome,1,-1,triploid_heat
LOC105330901,13.27142167,-0.89430451,0.469658834,0.002122778,0.036153869,characterized,ethanolaminephosphotransferase 1-like,genome,1,-1,triploid_heat
LOC105322061,16.35529284,-0.892132286,0.265433804,4.65E-05,0.002361837,characterized,cytochrome c oxidase assembly factor 8 isoform X1,genome,1,-1,triploid_heat
LOC105338415,27.01372939,-0.892052145,0.262832447,4.04E-05,0.002111503,characterized,UPF0696 protein C11orf68 homolog isoform X2,genome,1,-1,triploid_heat
LOC105337518,42.43482413,-0.890390063,0.501390069,0.002586814,0.040846309,characterized,WW domain-binding protein 1,genome,1,-1,triploid_heat
LOC105318451,80.71350998,-0.885798588,0.253517905,2.74E-05,0.001607326,characterized,microsomal glutathione S-transferase 1,genome,1,-1,triploid_heat
LOC105317058,11.61450487,-0.876382519,0.387015469,0.001075253,0.022415522,characterized,ryncolin-1-like isoform X1,genome,1,-1,triploid_heat
LOC105336215,66.07189992,-0.868088258,0.167255816,1.51E-08,2.90E-06,characterized,serine/threonine-protein kinase Nek6 isoform X1,genome,1,-1,triploid_heat
LOC105320176,12.3889149,-0.867737803,0.307719934,0.000274436,0.00849317,characterized,RING finger and transmembrane domain-containing protein 2-like,genome,1,-1,triploid_heat
LOC105332698,11.65924397,-0.867718525,0.392131042,0.001246176,0.024957343,characterized,xylulose kinase-like,genome,1,-1,triploid_heat
LOC105337285,9.544956429,-0.863133358,0.372115025,0.001028729,0.021810235,characterized,glycerophosphocholine cholinephosphodiesterase ENPP6,genome,1,-1,triploid_heat
LOC105336952,22.08850457,-0.863108086,0.51644488,0.003191599,0.047095228,characterized,cystatin-B,genome,1,-1,triploid_heat
LOC105319697,64.93909354,-0.862391018,0.351023824,0.000676139,0.016133747,characterized,sodium/calcium exchanger 3 isoform X3,genome,1,-1,triploid_heat
LOC105318323,17.37025005,-0.853531668,0.279938422,0.00013667,0.005259748,characterized,protein phosphatase methylesterase 1,genome,1,-1,triploid_heat
LOC117680345,44.73293537,-0.848926682,0.320319986,0.000419368,0.011476625,characterized,G2/M phase-specific E3 ubiquitin-protein ligase-like isoform X3,genome,1,-1,triploid_heat
LOC105343087,181.3389685,-0.846216681,0.251778811,4.60E-05,0.002344104,characterized,EF-hand domain-containing family member C2,genome,1,-1,triploid_heat
LOC105341790,75.26204608,-0.845599189,0.205887048,2.64E-06,0.000235986,characterized,organic cation transporter protein isoform X2,genome,1,-1,triploid_heat
LOC105317783,59.20388462,-0.842833465,0.173596362,8.41E-08,1.24E-05,characterized,hexokinase-1,genome,1,-1,triploid_heat
LOC105342575,42.32958366,-0.842040712,0.386746319,0.001317982,0.025917028,characterized,integrin beta pat-3-like isoform X4,genome,1,-1,triploid_heat
LOC105341701,34.97721416,-0.841994351,0.245352741,3.77E-05,0.002016427,characterized,5-phosphohydroxy-L-lysine phospho-lyase isoform X1,genome,1,-1,triploid_heat
LOC105325018,100.8204052,-0.839931338,0.289329954,0.0002051,0.006890847,characterized,dimethylaniline monooxygenase [N-oxide-forming] 2,genome,1,-1,triploid_heat
LOC117692400,85.26695498,-0.839251502,0.291804978,0.000222382,0.007324717,characterized,dynein regulatory complex subunit 4-like,genome,1,-1,triploid_heat
LOC105329245,70.78986081,-0.837389926,0.224309059,1.22E-05,0.000840462,characterized,translin-associated factor X-interacting protein 1,genome,1,-1,triploid_heat
LOC105339476,141.0549381,-0.829888691,0.172755254,1.10E-07,1.55E-05,characterized,influenza virus NS1A-binding protein homolog A isoform X1,genome,1,-1,triploid_heat
LOC109619581,57.74497888,-0.820789631,0.434463672,0.002364818,0.038526143,characterized,fibrinogen-like protein A isoform X1,genome,1,-1,triploid_heat
LOC105320500,12.75336845,-0.820230961,0.426351541,0.002299862,0.037674035,characterized,citramalyl-CoA lyase mitochondrial,genome,1,-1,triploid_heat
LOC105342358,394.2013335,-0.815576003,0.169928788,1.13E-07,1.55E-05,characterized,tubulin alpha-1A chain,genome,1,-1,triploid_heat
LOC105344364,29.30083607,-0.806532863,0.297066026,0.000381698,0.010781664,characterized,von Willebrand factor D and EGF domain-containing protein isoform X4,genome,1,-1,triploid_heat
LOC105323116,65.46276084,-0.802637276,0.400404657,0.00197574,0.034314987,characterized,furin-like protease kpc-1,genome,1,-1,triploid_heat
LOC105344520,152.5752541,-0.801890903,0.418495207,0.002295601,0.03763765,characterized,stimulator of interferon genes protein,genome,1,-1,triploid_heat
LOC105338326,16.48257812,-0.797725124,0.363769329,0.001389287,0.026778807,characterized,cytosolic iron-sulfur assembly component 3,genome,1,-1,triploid_heat
LOC105334283,27.47262362,-0.787200007,0.460692443,0.003372817,0.048593548,characterized,integrin beta-3 isoform X1,genome,1,-1,triploid_heat
LOC105329330,21.39759458,-0.785930273,0.422658522,0.00266967,0.041449548,characterized,succinate dehydrogenase assembly factor 3 mitochondrial,genome,1,-1,triploid_heat
LOC105331085,279.8050315,-0.78529989,0.206582759,9.76E-06,0.000694966,characterized,caltractin-like,genome,1,-1,triploid_heat
LOC105318510,26.15386853,-0.781652052,0.386720268,0.002006163,0.034647635,characterized,S-methyl-5'-thioadenosine phosphorylase isoform X2,genome,1,-1,triploid_heat
LOC105342668,20.67103811,-0.780448032,0.388193842,0.00202632,0.034832681,characterized,sialin,genome,1,-1,triploid_heat
LOC105332286,32.94739651,-0.775370675,0.166739403,2.59E-07,3.25E-05,characterized,peptide methionine sulfoxide reductase-like,genome,1,-1,triploid_heat
LOC105324884,53.56919929,-0.773376749,0.270943167,0.000262359,0.008272146,characterized,transcription initiation factor IIB isoform X2,genome,1,-1,triploid_heat
LOC105336080,256.795526,-0.771154144,0.259937459,0.000183287,0.006415035,characterized,ryncolin-1,genome,1,-1,triploid_heat
LOC105345062,465.4413992,-0.770292068,0.149690028,2.02E-08,3.68E-06,characterized,nucleolar protein 56,genome,1,-1,triploid_heat
LOC105328301,88.71518623,-0.769057403,0.305297565,0.000655176,0.01581769,characterized,transient receptor potential cation channel subfamily V member 5,genome,1,-1,triploid_heat
LOC105338583,906.9360065,-0.767762943,0.151906737,3.30E-08,5.69E-06,characterized,tubulin beta chain,genome,1,-1,triploid_heat
LOC105340803,20.96328775,-0.766928004,0.399638714,0.00246724,0.039606821,characterized,probable protein disulfide-isomerase A6,genome,1,-1,triploid_heat
LOC117681732,23.45360678,-0.765370106,0.370370579,0.001867859,0.032845831,characterized,solute carrier family 49 member 4-like,genome,1,-1,triploid_heat
LOC105328316,40.21348676,-0.764006072,0.414891117,0.002822674,0.042911893,characterized,medium-chain acyl-CoA ligase ACSF2 mitochondrial,genome,1,-1,triploid_heat
LOC117692705,45.55213567,-0.763379668,0.244218387,0.000114789,0.004612825,characterized,dynein regulatory complex subunit 2-like,genome,1,-1,triploid_heat
LOCNA.24,250.0915426,-0.761230608,0.222146406,4.05E-05,0.002111503,characterized,NA,NA,1,-1,triploid_heat
LOC105319604,31.37364909,-0.758018635,0.261810119,0.000241038,0.007805928,characterized,neprilysin isoform X1,genome,1,-1,triploid_heat
LOC105320215,125.3781384,-0.750330522,0.311927282,0.000890065,0.019590985,characterized,polycystic kidney disease 2-like 1 protein,genome,1,-1,triploid_heat
LOC105330505,94.36906871,-0.748785371,0.143756601,1.49E-08,2.89E-06,characterized,serine palmitoyltransferase 2 isoform X1,genome,1,-1,triploid_heat
LOC105331961,102.3970429,-0.748522809,0.259474715,0.000248056,0.007978535,characterized,transient receptor potential cation channel subfamily M member 2 isoform X1,genome,1,-1,triploid_heat
LOC105332751,147.9107181,-0.742029534,0.189814874,6.83E-06,0.000526737,characterized,integrin beta pat-3 isoform X4,genome,1,-1,triploid_heat
LOC105345761,34.22790466,-0.741503119,0.275995224,0.000440747,0.011884567,characterized,15-anhydro-D-fructose reductase-like,genome,1,-1,triploid_heat
LOC105345847,14.94429275,-0.741157592,0.370197298,0.00227867,0.037510608,characterized,E3 ubiquitin-protein ligase TRIM71,genome,1,-1,triploid_heat
LOC117691670,13.92709489,-0.740887716,0.412653517,0.003262357,0.047681596,characterized,C-type lectin mannose-binding isoform-like,genome,1,-1,triploid_heat
LOC109618881,2462.485052,-0.740575611,0.211321219,3.27E-05,0.001833785,characterized,tubulin alpha-1A chain-like isoform X1,genome,1,-1,triploid_heat
LOC105348652,142.8250201,-0.737261333,0.169298638,1.03E-06,0.000107147,characterized,hydroxyacyl-coenzyme A dehydrogenase mitochondrial,genome,1,-1,triploid_heat
LOC105327335,67.57521362,-0.734137505,0.234576194,0.000118463,0.004734654,characterized,EF-hand domain-containing family member B,genome,1,-1,triploid_heat
LOC117681137,52.89368525,-0.731860813,0.403211532,0.003127985,0.046491277,characterized,E3 ubiquitin-protein ligase PPP1R11-like,genome,1,-1,triploid_heat
